,file,class,Predicted_Values,wmc,tcc,totalMethodsQty,totalFieldsQty,loc,Predicted_Metrics,Euclidean_dist
0,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous2,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
1,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous3,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
2,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous1,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
3,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DragTracker.java,CH.ifa.draw.standard.DragTracker,none,13,0.46666667,6,3,91,[17.  0.  8.  3. 92.],[4.60627591]
4,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous4,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
5,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand,minor,7,0.06666667,6,1,143,[ 19.   0.  10.   5. 141.],[13.4165735]
6,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,none,10,0.06666667,7,1,37,[10.  0.  6.  1. 37.],[1.00221976]
7,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureChangeListener.java,CH.ifa.draw.framework.FigureChangeListener,none,5,0.0,5,0,7,[6. 0. 6. 0. 6.],[1.73205081]
8,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertApplication.java,CH.ifa.draw.samples.pert.PertApplication,none,3,0.0,3,1,21,[ 4.  0.  3.  2. 21.],[1.41421356]
9,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\WindowMenu.java,CH.ifa.draw.contrib.WindowMenu$ChildMenuItem,major,2,1.0,2,1,10,[ 2.  0.  2.  1. 10.],[1.]
10,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\BorderTool.java,CH.ifa.draw.figures.BorderTool,none,3,0.0,3,0,54,[ 1. -1.  1.  0. 57.],[4.24264069]
11,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\ColorMap.java,CH.ifa.draw.util.ColorEntry,none,1,,1,2,8,[ 1. -1.  1.  2.  8.],[1.]
12,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,none,25,0.40952381,15,4,95,[27.  0. 14.  3. 94.],[2.67725788]
13,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableOutput.java,CH.ifa.draw.util.StorableOutput,minor,26,0.75,15,3,113,[ 24.   0.  13.   2. 116.],[4.30842198]
14,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\ChopDiamondConnector.java,CH.ifa.draw.contrib.ChopDiamondConnector,none,15,0.0,3,1,42,[15.  0.  4.  0. 41.],[1.73205081]
15,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\ReverseVectorEnumerator.java,CH.ifa.draw.util.ReverseVectorEnumerator,none,5,1.0,3,2,17,[ 5.  0.  3.  2. 17.],[1.]
16,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\ChopPolygonConnector.java,CH.ifa.draw.contrib.ChopPolygonConnector,none,3,0.0,3,1,11,[ 3.  0.  3.  1. 11.],[0.]
17,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\GroupHandle.java,CH.ifa.draw.figures.GroupHandle,none,2,0.0,2,0,13,[ 2.  0.  2.  0. 13.],[0.]
18,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawViewer.java,CH.ifa.draw.samples.javadraw.JavaDrawViewer,none,14,0.07272727,12,5,62,[17.  0. 12.  3. 62.],[3.60628469]
19,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\FigureAttributes.java,CH.ifa.draw.figures.FigureAttributes,none,29,0.5833333,9,3,119,[ 28.   0.   7.   0. 119.],[3.78685592]
20,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertDependency.java,CH.ifa.draw.samples.pert.PertDependency,none,8,0.0,5,2,39,[ 8.  0.  4.  2. 40.],[1.41421356]
21,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\BoxHandleKit.java,CH.ifa.draw.standard.ResizeHandle$UndoActivity,none,9,0.1,6,1,37,[10.  0.  6.  1. 37.],[1.00498756]
22,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\WindowMenu.java,CH.ifa.draw.contrib.WindowMenu,none,4,,2,3,76,[ 9.  0.  4.  4. 77.],[5.56776436]
23,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\InsertImageCommand.java,CH.ifa.draw.figures.InsertImageCommand,none,3,0.33333334,3,1,56,[ 1. -1.  1.  0. 57.],[3.43187672]
24,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\FastBufferedUpdateStrategy.java,CH.ifa.draw.standard.FastBufferedUpdateStrategy,none,14,0.0,3,5,61,[15.  0.  5.  4. 60.],[2.64575131]
25,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\SplitPaneDrawApplication.java,CH.ifa.draw.contrib.SplitPaneDrawApplication,none,14,0.044444446,10,2,50,[15.  0.  9.  2. 50.],[1.41491177]
26,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\Clipboard.java,CH.ifa.draw.util.Clipboard,none,4,0.33333334,4,2,15,[ 4.  0.  4.  2. 15.],[0.33333334]
27,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableInput.java,CH.ifa.draw.util.StorableInput,major,22,0.47619048,10,2,88,[22.  0.  9.  1. 86.],[2.49534714]
28,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\PolyLineFigure.java,CH.ifa.draw.figures.PolyLineFigure,none,63,0.3125,34,10,238,[ 60.   0.  36.   8. 232.],[7.28681386]
29,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DuplicateCommand.java,CH.ifa.draw.standard.DuplicateCommand,none,5,0.0,4,0,21,[ 5.  0.  4.  0. 22.],[1.]
30,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DecoratorFigure.java,CH.ifa.draw.standard.DecoratorFigure,none,36,0.002016129,33,3,114,[ 33.   0.  30.   2. 117.],[5.29150301]
31,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\SendToBackCommand.java,CH.ifa.draw.standard.SendToBackCommand,none,6,0.0,4,0,70,[ 8.  0.  2.  1. 66.],[5.]
32,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\LineDecoration.java,CH.ifa.draw.figures.LineDecoration,none,1,,1,0,3,[ 1. -1.  1.  0.  3.],[1.]
33,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\PolyLineHandle.java,CH.ifa.draw.figures.PolyLineHandle,none,8,0.1,6,1,72,[10.  0.  3.  0. 74.],[4.24381903]
34,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\TextFigure.java,CH.ifa.draw.figures.TextFigure,none,57,0.12436975,38,15,249,[ 60.   0.  36.   8. 232.],[18.7354068]
35,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\Connector.java,CH.ifa.draw.framework.Connector,none,6,0.0,6,0,8,[7. 0. 7. 0. 8.],[1.41421356]
36,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\OrderedFigureElement.java,CH.ifa.draw.standard.OrderedFigureElement,none,7,0.6666667,5,2,26,[ 7.  0.  4.  2. 26.],[1.20185044]
37,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\applet\DrawApplet.java,CH.ifa.draw.applet.DrawApplet$Anonymous1,minor,2,,1,0,7,[2. 0. 2. 0. 7.],[1.]
38,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\applet\DrawApplet.java,CH.ifa.draw.applet.DrawApplet$Anonymous2,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
39,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\applet\DrawApplet.java,CH.ifa.draw.applet.DrawApplet$Anonymous3,none,2,,1,0,10,[ 2.  0.  2.  0. 10.],[1.]
40,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoableHandle.java,CH.ifa.draw.util.UndoableHandle,none,20,0.013071896,18,2,63,[20.  0. 18.  3. 63.],[1.00008543]
41,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\CopyCommand.java,CH.ifa.draw.standard.CopyCommand,none,4,0.0,3,0,12,[ 4.  0.  4.  0. 12.],[1.]
42,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\ElbowHandle.java,CH.ifa.draw.figures.ElbowHandle,none,15,0.4,9,2,97,[15.  0. 11.  4. 98.],[3.02654919]
43,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\PolyLineConnector.java,CH.ifa.draw.figures.PolyLineConnector,none,8,0.0,3,1,41,[ 8.  0.  3.  0. 41.],[1.]
44,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\MDIDesktopPane.java,CH.ifa.draw.contrib.MDIDesktopPane,none,19,0.1904762,8,2,99,[ 18.   0.   6.   5. 100.],[3.8776644]
45,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\Filler.java,CH.ifa.draw.util.Filler,none,6,0.2,5,3,25,[ 6.  0.  4.  3. 25.],[1.0198039]
46,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\ArrowTip.java,CH.ifa.draw.figures.ArrowTip,none,13,0.054545455,13,5,61,[17.  0. 13.  5. 60.],[4.12346641]
47,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\Iconkit.java,CH.ifa.draw.util.Iconkit,none,19,0.21428572,9,6,79,[21.  0.  7.  7. 78.],[3.16952968]
48,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\Animator.java,CH.ifa.draw.samples.javadraw.Animator,none,6,0.6666667,4,4,34,[ 6.  0.  4.  4. 34.],[0.6666667]
49,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\NullHandle.java,CH.ifa.draw.standard.NullHandle,major,2,0.0,2,1,11,[ 2.  0.  2.  1. 10.],[1.]
50,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\PolygonScaleHandle.java,CH.ifa.draw.contrib.PolygonScaleHandle,none,13,0.21428572,8,1,97,[15.  0.  9.  0. 94.],[3.87890685]
51,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\URLTool.java,CH.ifa.draw.samples.javadraw.URLTool$Anonymous1,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
52,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\TextTool.java,CH.ifa.draw.figures.TextTool,minor,23,0.030303031,13,2,168,[ 25.   0.  17.   4. 166.],[5.29158939]
53,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoableAdapter.java,CH.ifa.draw.util.UndoableAdapter,none,17,0.06666667,15,5,62,[17.  0. 13.  5. 60.],[2.82921269]
54,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionEndHandle.java,CH.ifa.draw.standard.ChangeConnectionEndHandle$UndoActivity,none,2,0.0,2,0,10,[ 2.  0.  2.  0. 10.],[0.]
55,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\RadiusHandle.java,CH.ifa.draw.figures.RadiusHandle,none,9,0.0,7,1,81,[12. -1.  9.  3. 78.],[5.19615242]
56,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\FontSizeHandle.java,CH.ifa.draw.figures.FontSizeHandle$UndoActivity,none,12,0.071428575,9,2,49,[13.  0.  8.  1. 50.],[2.0012751]
57,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\AutoscrollHelper.java,CH.ifa.draw.contrib.AutoscrollHelper,none,16,0.35714287,8,2,39,[16.  0.  7.  0. 39.],[2.26440964]
58,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\SelectAllCommand.java,CH.ifa.draw.standard.SelectAllCommand$UndoActivity,none,5,0.0,3,0,22,[ 5.  0.  4.  0. 22.],[1.]
59,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\FigureChangeAdapter.java,CH.ifa.draw.standard.FigureChangeAdapter,none,5,0.0,5,0,12,[ 5.  0.  5.  0. 11.],[1.]
60,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\BoxHandleKit.java,CH.ifa.draw.standard.SouthWestHandle,none,2,0.0,2,0,9,[2. 0. 2. 0. 9.],[0.]
61,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\GraphLayout.java,CH.ifa.draw.util.GraphLayout,none,27,0.53333336,8,8,135,[ 26.   0.   5.   4. 131.],[6.50264904]
62,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\SelectionTool.java,CH.ifa.draw.standard.SelectionTool,none,14,0.10714286,8,1,55,[15.  0.  9.  2. 56.],[2.00286784]
63,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChopBoxConnector.java,CH.ifa.draw.standard.ChopBoxConnector,minor,7,0.0,5,1,36,[ 8. -1.  5.  2. 37.],[2.]
64,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\CommandChoice.java,CH.ifa.draw.util.CommandChoice,none,6,1.0,3,1,20,[ 5.  0.  3.  1. 20.],[1.41421356]
65,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\JHotDrawException.java,CH.ifa.draw.framework.JHotDrawException,none,2,0.0,2,0,9,[2. 0. 2. 0. 9.],[0.]
66,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\net\NodeFigure.java,CH.ifa.draw.samples.net.NodeFigure,none,19,0.04761905,13,3,96,[21.  0. 13.  3. 92.],[4.47238947]
67,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AbstractFigure.java,CH.ifa.draw.standard.AbstractFigure,none,47,0.024024025,37,4,147,[ 45.   0.  40.   2. 141.],[7.28014953]
68,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\MDIDesktopPane.java,CH.ifa.draw.contrib.MDIDesktopManager,minor,19,0.4,7,1,74,[18.  0.  6.  1. 74.],[1.46969385]
69,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\BorderTool.java,CH.ifa.draw.figures.BorderTool$UndoActivity,none,8,0.0,4,0,38,[ 8.  0.  4.  1. 38.],[1.]
70,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\PolyLineHandle.java,CH.ifa.draw.figures.PolyLineHandle$UndoActivity,none,11,0.071428575,8,2,45,[11.  0.  8.  2. 46.],[1.00254778]
71,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\BoxHandleKit.java,CH.ifa.draw.standard.ResizeHandle,none,5,0.0,4,0,56,[ 6.  0.  4.  0. 57.],[1.41421356]
72,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\PaletteListener.java,CH.ifa.draw.util.PaletteListener,none,2,0.0,2,0,4,[2. 0. 2. 0. 4.],[0.]
73,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\TriangleRotationHandle.java,CH.ifa.draw.contrib.TriangleRotationHandle$UndoActivity,none,9,0.06666667,6,1,39,[10.  0.  6.  2. 39.],[1.41578404]
74,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\BufferedUpdateStrategy.java,CH.ifa.draw.standard.BufferedUpdateStrategy,none,4,,1,5,18,[ 4.  0.  2.  4. 19.],[1.73205081]
75,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureSelection.java,CH.ifa.draw.framework.FigureSelection,none,2,0.0,2,0,4,[2. 0. 2. 0. 4.],[0.]
76,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\PaletteIcon.java,CH.ifa.draw.util.PaletteIcon,none,6,0.2,6,4,27,[ 7.  0.  6.  3. 28.],[1.74355958]
77,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\GraphicalCompositeFigure.java,CH.ifa.draw.contrib.GraphicalCompositeFigure,none,27,0.00952381,21,3,102,[ 28.   0.  23.   6. 104.],[4.24265138]
78,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\PolygonHandle.java,CH.ifa.draw.contrib.PolygonHandle$UndoActivity,none,3,0.0,2,0,17,[ 3.  0.  2.  1. 17.],[1.]
79,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\NullTool.java,CH.ifa.draw.standard.NullTool,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
80,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\SelectAllCommand.java,CH.ifa.draw.standard.SelectAllCommand,none,6,0.0,4,0,44,[ 6.  0.  3.  0. 45.],[1.41421356]
81,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ToggleGridCommand.java,CH.ifa.draw.standard.ToggleGridCommand,none,3,0.0,2,1,17,[ 3.  0.  2.  1. 17.],[0.]
82,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\PopupMenuFigureSelection.java,CH.ifa.draw.contrib.PopupMenuFigureSelection,none,2,0.0,2,0,4,[2. 0. 2. 0. 4.],[0.]
83,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\Layoutable.java,CH.ifa.draw.contrib.Layoutable,none,3,0.0,3,0,5,[3. 0. 3. 0. 5.],[0.]
84,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\Bounds.java,CH.ifa.draw.util.Bounds,none,130,0.4067633,48,4,370,[131.   0.  38.   3. 382.],[15.68966081]
85,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\BoxHandleKit.java,CH.ifa.draw.standard.NorthEastHandle,none,2,0.0,2,0,9,[2. 0. 2. 0. 9.],[0.]
86,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\BoxHandleKit.java,CH.ifa.draw.standard.BoxHandleKit,none,10,0.0,10,0,39,[11.  0.  9.  0. 38.],[1.73205081]
87,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\DragNDropTool.java,CH.ifa.draw.contrib.DragNDropTool,minor,101,0.04,28,7,388,[103.           0.49019608  37.           8.         399.        ],[14.39453634]
88,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AbstractCommand.java,CH.ifa.draw.standard.AbstractCommand,none,35,0.014285714,23,5,138,[ 39.   0.  21.   6. 136.],[5.00002041]
89,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\FigureTransferCommand.java,CH.ifa.draw.standard.FigureTransferCommand,none,5,0.0,4,0,17,[ 6.  0.  4.  0. 17.],[1.]
90,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\BoxHandleKit.java,CH.ifa.draw.standard.NorthWestHandle,none,2,0.0,2,0,9,[2. 0. 2. 0. 9.],[0.]
91,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\CommandMenu.java,CH.ifa.draw.util.CommandMenu,none,20,0.07692308,13,1,71,[19.  0. 14.  2. 71.],[1.7337581]
