,file,class,Predicted_Values,wmc,tcc,totalMethodsQty,totalFieldsQty,loc,Predicted_Metrics,Euclidean_dist
182,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\MDI_InternalFrame.java,CH.ifa.draw.contrib.MDI_InternalFrame,none,15,0.018181818,11,1,49,[15.  0.  9.  2. 50.],[2.44955722]
183,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\StandardDrawingView.java,CH.ifa.draw.standard.StandardDrawingView$ASH,none,4,0.0,4,0,14,[ 4.  0.  4.  0. 14.],[0.]
184,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\WindowMenu.java,CH.ifa.draw.contrib.WindowMenu$Anonymous4,none,2,,1,0,12,[ 2. -1.  1.  0. 12.],[1.]
185,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\WindowMenu.java,CH.ifa.draw.contrib.WindowMenu$Anonymous3,none,3,0.0,3,0,10,[ 3.  0.  3.  0. 10.],[0.]
186,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\LineFigure.java,CH.ifa.draw.figures.LineFigure,none,7,0.0,7,2,27,[ 7.  0.  6.  2. 27.],[1.]
187,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeAttributeCommand.java,CH.ifa.draw.standard.ChangeAttributeCommand$UndoActivity,none,19,0.14545454,11,3,72,[19.  0. 14.  2. 71.],[3.3198128]
188,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\WindowMenu.java,CH.ifa.draw.contrib.WindowMenu$Anonymous2,none,3,0.0,2,0,8,[2. 0. 2. 0. 8.],[1.]
189,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\WindowMenu.java,CH.ifa.draw.contrib.WindowMenu$Anonymous1,none,3,0.0,2,0,8,[2. 0. 2. 0. 8.],[1.]
190,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\GroupCommand.java,CH.ifa.draw.figures.GroupCommand,none,5,0.0,4,0,63,[ 5.  0.  5.  0. 60.],[3.16227766]
191,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\PaletteButton.java,CH.ifa.draw.util.PaletteButton,none,20,0.36363637,12,6,74,[22.  0. 13.  5. 72.],[3.18311662]
192,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\FontSizeHandle.java,CH.ifa.draw.figures.FontSizeHandle,none,7,0.0,6,0,85,[11.  0.  8.  3. 87.],[5.74456265]
193,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\SingleFigureEnumerator.java,CH.ifa.draw.standard.SingleFigureEnumerator,none,5,1.0,4,1,19,[ 5.  0.  4.  1. 19.],[1.]
194,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ReverseFigureEnumerator.java,CH.ifa.draw.standard.ReverseFigureEnumerator,none,4,1.0,4,1,15,[ 4.  0.  4.  1. 15.],[1.]
195,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StandardStorageFormat.java,CH.ifa.draw.util.StandardStorageFormat,minor,18,0.04761905,15,3,86,[18.  0. 17.  2. 85.],[2.44995257]
196,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\StandardFigureSelection.java,CH.ifa.draw.standard.StandardFigureSelection,none,8,0.33333334,4,2,42,[ 8.  0.  4.  2. 41.],[1.05409256]
197,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\nothing\NothingApplet.java,CH.ifa.draw.samples.nothing.NothingApplet,none,1,,1,0,21,[ 1. -1.  1.  0. 21.],[1.]
198,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\DrawingChangeEvent.java,CH.ifa.draw.framework.DrawingChangeEvent,none,3,0.33333334,3,1,13,[ 3.  0.  3.  1. 13.],[0.33333334]
199,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\DrawingChangeListener.java,CH.ifa.draw.framework.DrawingChangeListener,none,2,0.0,2,0,4,[2. 0. 2. 0. 4.],[0.]
200,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureChangeEvent.java,CH.ifa.draw.framework.FigureChangeEvent,none,4,0.5,4,2,18,[ 4.  0.  4.  1. 18.],[1.11803399]
201,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\SimpleUpdateStrategy.java,CH.ifa.draw.standard.SimpleUpdateStrategy,none,1,,1,1,6,[2. 0. 2. 1. 6.],[1.41421356]
202,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\Storable.java,CH.ifa.draw.util.Storable,none,2,0.0,2,0,4,[2. 0. 2. 0. 4.],[0.]
203,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\DNDInterface.java,CH.ifa.draw.contrib.DNDInterface,none,5,0.0,5,0,7,[6. 0. 6. 0. 6.],[1.73205081]
204,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\BoxHandleKit.java,CH.ifa.draw.standard.SouthEastHandle,none,2,0.0,2,0,9,[2. 0. 2. 0. 9.],[0.]
205,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\LocatorHandle.java,CH.ifa.draw.standard.LocatorHandle,none,3,1.0,3,1,13,[ 3.  0.  3.  1. 13.],[1.]
206,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AbstractTool.java,CH.ifa.draw.standard.AbstractTool,major,37,0.012307692,27,6,173,[ 44.   0.  27.   5. 166.],[9.94988198]
207,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\JHotDrawRuntimeException.java,CH.ifa.draw.framework.JHotDrawRuntimeException,none,2,0.0,2,0,9,[2. 0. 2. 0. 9.],[0.]
208,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionStartHandle.java,CH.ifa.draw.standard.ChangeConnectionStartHandle,none,7,0.0,7,0,33,[ 7.  0.  7.  0. 32.],[1.]
209,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\PolygonFigure.java,CH.ifa.draw.contrib.PolygonFigure$Anonymous1,none,2,,1,0,9,[2. 0. 2. 0. 9.],[1.]
210,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorageFormatManager.java,CH.ifa.draw.util.StorageFormatManager,none,12,0.5714286,8,2,42,[13.          0.53571427  8.          2.         41.        ],[1.41466445]
211,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\ShortestDistanceConnector.java,CH.ifa.draw.figures.ShortestDistanceConnector,none,16,0.0,5,1,99,[17.  0.  6.  1. 96.],[3.31662479]
212,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\BouncingDrawing.java,CH.ifa.draw.samples.javadraw.BouncingDrawing,none,11,0.0,4,2,32,[10.  0.  5.  1. 32.],[1.73205081]
213,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AbstractTool.java,CH.ifa.draw.standard.AbstractTool$EventDispatcher,none,17,1.0,9,2,54,[16.  0.  9.  2. 52.],[2.44948974]
214,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand$Alignment$Anonymous6,none,1,,1,0,6,[ 1. -1.  1.  0.  6.],[1.]
215,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand$Alignment$Anonymous4,none,1,,1,0,6,[ 1. -1.  1.  0.  6.],[1.]
216,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand$Alignment$Anonymous5,none,1,,1,0,6,[ 1. -1.  1.  0.  6.],[1.]
217,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand$Alignment$Anonymous2,none,1,,1,0,6,[ 1. -1.  1.  0.  6.],[1.]
218,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand$Alignment$Anonymous3,none,1,,1,0,6,[ 1. -1.  1.  0.  6.],[1.]
219,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\GridConstrainer.java,CH.ifa.draw.standard.GridConstrainer,none,4,0.8333333,4,2,19,[ 5.  0.  4.  2. 19.],[1.30170826]
220,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand$Alignment$Anonymous1,none,1,,1,0,6,[ 1. -1.  1.  0.  6.],[1.]
221,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand$UndoActivity,none,14,0.11111111,9,2,59,[14.  0.  8.  1. 58.],[1.73561104]
222,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\FollowURLTool.java,CH.ifa.draw.samples.javadraw.FollowURLTool,none,8,1.0,3,1,37,[ 9.  0.  3.  1. 36.],[1.73205081]
223,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertFigureCreationTool.java,CH.ifa.draw.samples.pert.PertFigureCreationTool,none,2,0.0,2,0,8,[2. 0. 2. 0. 8.],[0.]
224,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\CustomSelectionTool.java,CH.ifa.draw.contrib.CustomSelectionTool,none,22,0.0,11,0,73,[21.  0. 14.  2. 75.],[4.24264069]
225,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoableCommand.java,CH.ifa.draw.util.UndoableCommand,none,23,0.013071896,19,3,74,[23.  0. 21.  4. 73.],[2.44952462]
226,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\ToolListener.java,CH.ifa.draw.framework.ToolListener,none,6,0.0,6,0,8,[7. 0. 7. 0. 8.],[1.41421356]
227,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\application\DrawApplication.java,CH.ifa.draw.application.DrawApplication$Anonymous8,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
228,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ConnectionHandle.java,CH.ifa.draw.standard.ConnectionHandle,minor,26,0.06666667,12,3,88,[26.  0.  9.  5. 87.],[3.74225125]
229,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\application\DrawApplication.java,CH.ifa.draw.application.DrawApplication$Anonymous9,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
230,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\Drawing.java,CH.ifa.draw.framework.Drawing,none,39,0.0,39,0,41,[38.  0. 38.  0. 38.],[3.31662479]
231,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\TriangleRotationHandle.java,CH.ifa.draw.contrib.TriangleRotationHandle,none,10,0.035714287,8,1,90,[11.  0.  8.  3. 87.],[3.74182783]
232,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\TriangleFigure.java,CH.ifa.draw.contrib.TriangleFigure,none,32,0.23076923,14,2,131,[ 29.   0.  12.   2. 129.],[4.12955863]
233,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle,none,37,0.025,18,4,145,[ 35.   0.  17.   4. 147.],[3.00010416]
234,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\application\DrawApplication.java,CH.ifa.draw.application.DrawApplication$Anonymous2,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
235,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\application\DrawApplication.java,CH.ifa.draw.application.DrawApplication$Anonymous3,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
236,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\application\DrawApplication.java,CH.ifa.draw.application.DrawApplication$Anonymous1,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
237,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\PasteCommand.java,CH.ifa.draw.standard.PasteCommand,none,9,0.0,5,0,62,[ 9.  0.  3.  1. 61.],[2.44948974]
238,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\application\DrawApplication.java,CH.ifa.draw.application.DrawApplication$Anonymous6,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
239,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\application\DrawApplication.java,CH.ifa.draw.application.DrawApplication$Anonymous7,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
240,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\application\DrawApplication.java,CH.ifa.draw.application.DrawApplication$Anonymous4,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
241,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\application\DrawApplication.java,CH.ifa.draw.application.DrawApplication$Anonymous5,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
242,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\ConnectionFigure.java,CH.ifa.draw.framework.ConnectionFigure,none,20,0.0,20,0,22,[20.  0. 20.  1. 22.],[1.]
243,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\CutCommand.java,CH.ifa.draw.standard.CutCommand,none,5,0.0,4,0,44,[ 4.  0.  4.  0. 45.],[1.41421356]
244,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\GroupFigure.java,CH.ifa.draw.figures.GroupFigure,none,8,0.0,6,2,35,[ 8.  0.  7.  1. 35.],[1.41421356]
245,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\FloatingTextField.java,CH.ifa.draw.util.FloatingTextField,none,11,0.7777778,9,2,46,[11.  0.  8.  2. 46.],[1.2668616]
246,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\RedoCommand.java,CH.ifa.draw.util.RedoCommand,none,9,0.0,3,0,26,[ 9.  0.  4.  0. 25.],[1.41421356]
247,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\CutCommand.java,CH.ifa.draw.standard.CutCommand$UndoActivity,none,6,1.0,3,1,25,[ 6.  0.  4.  0. 25.],[1.73205081]
248,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\Command.java,CH.ifa.draw.util.Command,none,8,0.0,8,0,10,[ 8.  0.  8.  0. 10.],[0.]
249,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\RelativeLocator.java,CH.ifa.draw.standard.RelativeLocator,none,18,0.14285715,15,4,62,[17.  0. 13.  5. 60.],[3.16550283]
250,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoCommand.java,CH.ifa.draw.util.UndoCommand,none,9,0.0,3,0,26,[ 9.  0.  4.  0. 25.],[1.41421356]
251,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\EllipseFigure.java,CH.ifa.draw.figures.EllipseFigure,none,12,0.09090909,12,3,54,[14.  0. 12.  2. 53.],[2.45117614]
252,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionStartHandle.java,CH.ifa.draw.standard.ChangeConnectionStartHandle$UndoActivity,none,2,0.0,2,0,10,[ 2.  0.  2.  0. 10.],[0.]
253,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\ImageFigure.java,CH.ifa.draw.figures.ImageFigure,none,20,0.36363637,13,5,80,[19.          0.35897437 14.          5.         82.        ],[2.44949418]
254,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StandardVersionControlStrategy.java,CH.ifa.draw.util.StandardVersionControlStrategy,none,11,0.0,6,1,39,[11.  0.  7.  1. 38.],[1.41421356]
255,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\StandardLayouter.java,CH.ifa.draw.contrib.StandardLayouter,none,10,0.044444446,10,3,33,[10.  0. 10.  3. 33.],[0.04444445]
256,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\Painter.java,CH.ifa.draw.framework.Painter,none,1,,1,0,3,[ 1. -1.  1.  0.  3.],[1.]
257,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand$Alignment,none,5,0.0,5,7,58,[ 7.  0.  4.  8. 54.],[4.69041576]
258,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\StandardDrawingView.java,CH.ifa.draw.standard.StandardDrawingView,none,146,0.031746034,68,23,529,"[1.43000000e+02 1.14982575e-01 5.00000000e+01 2.10000000e+01
 5.42000000e+02]",[22.49459776]
259,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\URLTool.java,CH.ifa.draw.samples.javadraw.URLTool,none,16,0.0,9,2,67,[16.  0.  8.  2. 67.],[1.]
260,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertApplet.java,CH.ifa.draw.samples.pert.PertApplet,none,1,,1,1,14,[ 1. -1.  1.  0. 14.],[1.41421356]
261,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\AttributeFigure.java,CH.ifa.draw.figures.AttributeFigure,minor,23,0.10909091,13,4,81,[24.  0. 13.  4. 85.],[4.12454856]
262,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\ElbowConnection.java,CH.ifa.draw.figures.ElbowConnection,none,12,0.0,6,2,54,[12.  0.  5.  1. 54.],[1.41421356]
263,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\OffsetLocator.java,CH.ifa.draw.standard.OffsetLocator,none,7,0.9047619,7,5,43,[ 9.          0.85714287  7.          3.         43.        ],[2.82882795]
264,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\TextHolder.java,CH.ifa.draw.standard.TextHolder,none,8,0.0,8,0,10,[ 8.  0.  8.  0. 10.],[0.]
265,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\CreationTool.java,CH.ifa.draw.standard.CreationTool,none,16,0.16363636,13,4,66,[18.  0. 13.  4. 66.],[2.00668305]
266,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\HandleTracker.java,CH.ifa.draw.standard.HandleTracker,none,5,0.6,5,1,21,[ 5.  0.  5.  1. 22.],[1.16619038]
267,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApplet.java,CH.ifa.draw.samples.javadraw.JavaDrawApplet,none,11,0.23809524,7,2,73,[12.  0.  8.  4. 74.],[2.65644299]
268,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionEndHandle.java,CH.ifa.draw.standard.ChangeConnectionEndHandle,none,7,0.0,7,0,33,[ 7.  0.  7.  0. 32.],[1.]
269,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\UngroupCommand.java,CH.ifa.draw.figures.UngroupCommand$UndoActivity,none,9,0.0,4,0,41,[ 8.  0.  3.  0. 41.],[1.41421356]
270,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\VersionRequester.java,CH.ifa.draw.util.VersionRequester,none,1,,1,0,3,[ 1. -1.  1.  0.  3.],[1.]
271,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\LineConnection.java,CH.ifa.draw.figures.LineConnection,none,57,0.0033613446,36,4,190,[ 56.   0.  35.   8. 191.],[4.35890024]
272,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\GraphLayout.java,CH.ifa.draw.util.GraphNode,none,4,1.0,2,4,17,[ 5.  0.  2.  4. 16.],[1.73205081]
