,file,class,Predicted_Values,Predicted_Index,wmc,tcc,totalMethodsQty,totalFieldsQty,loc,Predicted_Metrics,Euclidean_dist
0,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\io\ImagesTask.java,hr.fer.zemris.io.ImagesTask,none,282,7,0.33333334,3,2,35,[ 6.  0.  3.  2. 36.],[1.45296632]
1,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\croatian\OneToOneNonUniqueDiagonalTest.java,hr.fer.zemris.test.croatian.OneToOneNonUniqueDiagonalTest,none,2166,29,,8,9,127,[ 30.   0.   7.   5. 127.],[4.24264069]
2,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\nnet\IDataSetLoader.java,hr.fer.zemris.gui.nnet.IDataSetLoader,none,208,1,,1,0,3,[ 1. -1.  1.  0.  3.],[1.]
3,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\FiltersFactory.java,hr.fer.zemris.filters.FiltersFactory,none,955,2,1.0,2,1,29,[ 2.  0.  2.  0. 28.],[1.73205081]
4,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\nnet\EnglishDataSetLoader.java,hr.fer.zemris.gui.nnet.EnglishDataSetLoader,none,543,6,0.0,3,2,28,[ 7.          0.33333334  3.          2.         28.        ],[1.05409256]
5,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\utility\ImageUtilities.java,hr.fer.zemris.utility.ImageUtilities,none,1634,5,0.0,5,0,25,[ 5.  0.  5.  0. 24.],[1.]
6,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\filter\JFilterSelection.java,hr.fer.zemris.gui.filter.JFilterSelection,none,1792,2,1.0,2,3,44,[ 3.          0.33333334  3.          3.         41.        ],[3.38296385]
7,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\image\BinaryImage.java,hr.fer.zemris.image.BinaryImage,none,1172,23,0.75,8,2,78,[22.  0.  7.  2. 76.],[2.56173769]
8,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\smallTest\EnglishUpercaseOneToOneDiagonalCrossTestS_SmallTest.java,hr.fer.zemris.test.smallTest.EnglishUpercaseOneToOneDiagonalCrossTestS_SmallTest,none,1302,31,,8,10,133,[ 35.   0.   9.   9. 133.],[4.24264069]
9,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\JOCR.java,hr.fer.zemris.JOCR$Anonymous1,none,625,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
10,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\learn\DiagonalCrossFeatureVector.java,hr.fer.zemris.learn.DiagonalCrossFeatureVector,none,1370,42,0.0,9,2,143,[ 42.   0.   6.   1. 140.],[4.35889894]
11,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\learn\DiagonalStructuralFeatureVector.java,hr.fer.zemris.learn.DiagonalStructuralFeatureVector,minor,1868,45,0.0,9,2,163,[ 41.   0.  16.   4. 163.],[8.30662386]
12,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\english\EnglishUpercaseOneToOneDiagonalTest.java,hr.fer.zemris.test.english.EnglishUpercaseOneToOneDiagonalTest,none,1302,31,,8,9,133,[ 35.   0.   9.   9. 133.],[4.12310563]
13,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\learn\DiagonalEulerCrossFeatureVector.java,hr.fer.zemris.learn.DiagonalEulerCrossFeatureVector$Tuple,none,916,1,,1,2,8,[ 1. -1.  1.  2.  8.],[1.]
14,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\learn\DiagonalFeatureVector.java,hr.fer.zemris.learn.DiagonalFeatureVector,minor,113,22,0.0,8,2,84,[23.  0.  8.  3. 84.],[1.41421356]
15,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\BilinearScaleFilter.java,hr.fer.zemris.filters.BilinearScaleFilter,none,642,6,0.5,4,2,38,[ 7.  0.  5.  3. 37.],[2.06155281]
16,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\croatian\OneToOneDiagonalCrossTest.java,hr.fer.zemris.test.croatian.OneToOneDiagonalCrossTest,none,1302,31,,8,9,131,[ 35.   0.   9.   9. 133.],[4.58257569]
17,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\image\EnglishCharacterMapper.java,hr.fer.zemris.image.EnglishCharacterMapper,none,1333,83,0.0,3,0,151,[ 84.           0.16666667   5.          16.         144.        ],[17.60760568]
18,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\DilationFilter.java,hr.fer.zemris.filters.DilationFilter,none,1008,14,0.0,5,5,44,[16.  0.  5.  5. 43.],[2.23606798]
19,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\image\ImageViewer.java,hr.fer.zemris.gui.image.ImageViewer,none,1516,5,0.6,5,2,33,[ 6.  0.  5.  1. 33.],[1.53622915]
20,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\nnet\LearningNetTask.java,hr.fer.zemris.gui.nnet.LearningNetTask$Anonymous1,none,955,1,,1,0,27,[ 2.  0.  2.  0. 28.],[1.73205081]
21,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\nnet\LearningNetTask.java,hr.fer.zemris.gui.nnet.LearningNetTask,none,830,6,0.4,5,11,68,[11.  0.  6.  5. 67.],[7.94732659]
22,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\smallTest\OneToOneDiagonalCrossTest_SmallTest.java,hr.fer.zemris.test.smallTest.OneToOneDiagonalCrossTest_SmallTest,minor,176,25,,7,10,121,[ 26.   0.  10.   9. 121.],[3.31662479]
23,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\learn\MatrixFeatureVector.java,hr.fer.zemris.learn.MatrixFeatureVector,none,2251,4,0.0,4,0,14,[ 4.  0.  4.  0. 14.],[0.]
24,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\console\JConsole.java,hr.fer.zemris.gui.console.JConsole,none,1424,4,1.0,3,2,29,[ 5.  0.  4.  1. 29.],[2.]
25,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\image\CroatianCharacterMapper.java,hr.fer.zemris.image.CroatianCharacterMapper,none,216,3,0.0,3,0,9,[3. 0. 3. 0. 9.],[0.]
26,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\BinarizationFilter.java,hr.fer.zemris.filters.BinarizationFilter,none,1423,3,0.0,3,0,12,[ 3.  0.  3.  0. 12.],[0.]
27,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\learn\DiagonalStructuralFeatureVector.java,hr.fer.zemris.learn.DiagonalStructuralFeatureVector$StructuralPoints,none,733,1,,1,3,10,[ 2.  0.  2.  2. 10.],[1.73205081]
28,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\learn\VerticalHorizontalProjection.java,hr.fer.zemris.learn.VerticalHorizontalProjection,none,747,13,0.0,6,1,45,[12.  0.  6.  1. 44.],[1.41421356]
29,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\image\UniqueLetterMapper.java,hr.fer.zemris.image.UniqueLetterMapper,none,209,1,,1,0,4,[ 1. -1.  1.  0.  4.],[1.]
30,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\english\EnglishOneToOneDiagonalTest.java,hr.fer.zemris.test.english.EnglishOneToOneDiagonalTest,none,2166,30,,8,9,129,[ 30.   0.   7.   5. 127.],[4.58257569]
31,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\smallTest\EnglishUpercaseOneToOneHroziontal_SmallTest.java,hr.fer.zemris.test.smallTest.EnglishUpercaseOneToOneHroziontal_SmallTest,none,1302,31,,8,10,133,[ 35.   0.   9.   9. 133.],[4.24264069]
32,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\nnet\LearningTestSetEvaluator.java,hr.fer.zemris.gui.nnet.LearningTestSetEvaluator,minor,77,14,1.0,3,6,70,[16.  0.  5.  3. 71.],[4.35889894]
33,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\croatian\OneToOneHorizontalTest.java,hr.fer.zemris.test.croatian.OneToOneHorizontalTest,none,1302,31,,8,9,132,[ 35.   0.   9.   9. 133.],[4.24264069]
34,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\image\ICharacterMapper.java,hr.fer.zemris.image.ICharacterMapper,none,1662,3,0.0,3,0,5,[3. 0. 3. 0. 5.],[0.]
35,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\NearestNeighborScaleFilter.java,hr.fer.zemris.filters.NearestNeighborScaleFilter,none,950,6,0.5,4,2,30,[ 7.   0.5  4.   2.  30. ],[1.]
36,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\learn\TestSetEvaluator.java,hr.fer.zemris.learn.TestSetEvaluator,none,1178,14,1.0,3,5,68,[13.  0.  4.  5. 66.],[2.64575131]
37,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\tabs\ImagePreviewTab.java,hr.fer.zemris.gui.tabs.ImagePreviewTab,minor,87,7,,2,3,64,[ 8. -1.  4.  3. 65.],[2.64575131]
38,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\ResizeFilter.java,hr.fer.zemris.filters.ResizeFilter,none,1131,4,0.5,4,1,18,[ 4.  0.  4.  1. 18.],[0.5]
39,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\english\EnglishUpercaseOneToOneDiagonalStructuralTest.java,hr.fer.zemris.test.english.EnglishUpercaseOneToOneDiagonalStructuralTest,none,1302,32,,8,9,135,[ 35.   0.   9.   9. 133.],[3.74165739]
40,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\smallTest\EnglishOneToOneHorizontalTest_SmallTest.java,hr.fer.zemris.test.smallTest.EnglishOneToOneHorizontalTest_SmallTest,none,2166,30,,8,10,130,[ 30.   0.   7.   5. 127.],[5.91607978]
41,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\croatian\UppercaseOneToOneDiagonalCrossTest.java,hr.fer.zemris.test.croatian.UppercaseOneToOneDiagonalCrossTest,none,1302,32,,8,9,134,[ 35.   0.   9.   9. 133.],[3.31662479]
42,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\english\EnglishOneToOneDiagonalStructuralTest.java,hr.fer.zemris.test.english.EnglishOneToOneDiagonalStructuralTest,none,1302,31,,8,9,132,[ 35.   0.   9.   9. 133.],[4.24264069]
43,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\image\ImageComponent.java,hr.fer.zemris.gui.image.ImageComponent,minor,164,13,0.73333335,8,2,65,[14.  0.  9.  3. 65.],[1.88089814]
44,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\tabs\RecognizeTab.java,hr.fer.zemris.gui.tabs.RecognizeTab,major,31,18,,3,7,112,[ 18.    0.4   6.    5.  112. ],[3.62767143]
45,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\io\ValueComparator.java,hr.fer.zemris.io.ValueComparator,none,1527,2,1.0,2,1,9,[2. 0. 2. 1. 9.],[1.]
46,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\learn\DiagonalEulerCrossFeatureVector.java,hr.fer.zemris.learn.DiagonalEulerCrossFeatureVector,none,906,46,0.0,9,2,164,[ 43.   0.  14.   3. 170.],[8.42614977]
47,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\learn\IFeatureVector.java,hr.fer.zemris.learn.IFeatureVector,none,1030,2,0.0,2,0,4,[2. 0. 2. 0. 4.],[0.]
48,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\learn\AbstractFeatureVector.java,hr.fer.zemris.learn.AbstractFeatureVector,none,1077,7,0.6666667,7,2,28,[ 7.  0.  6.  2. 27.],[1.56347193]
49,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\english\EnglishOneToOneDiagonalEulerCrossTest.java,hr.fer.zemris.test.english.EnglishOneToOneDiagonalEulerCrossTest,none,1302,31,,8,9,132,[ 35.   0.   9.   9. 133.],[4.24264069]
50,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\CropFilter.java,hr.fer.zemris.filters.CropFilter,none,1656,31,0.0,8,4,101,[ 30.   0.   6.   7. 102.],[3.87298335]
51,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\TestUnicode.java,hr.fer.zemris.test.TestUnicode,none,983,1,,1,0,6,[ 1. -1.  1.  0.  6.],[1.]
52,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\nnet\LearningNetTask.java,hr.fer.zemris.gui.nnet.LearningNetTask$Anonymous1$Anonymous2,minor,141,2,,1,0,7,[2. 0. 2. 0. 7.],[1.]
53,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\io\ImageFinder.java,hr.fer.zemris.io.ImageFinder,none,310,8,0.3,5,1,23,[ 7.  0.  5.  1. 23.],[1.04403065]
54,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\croatian\OneToOneHVTest.java,hr.fer.zemris.test.croatian.OneToOneHVTest,none,1302,31,,8,9,131,[ 35.   0.   9.   9. 133.],[4.58257569]
55,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\nnet\AbstractDataSetLoader.java,hr.fer.zemris.gui.nnet.AbstractDataSetLoader,none,712,8,0.33333334,3,2,39,[ 8.  0.  3.  3. 38.],[1.45296632]
56,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\nnet\INetTaskListener.java,hr.fer.zemris.gui.nnet.INetTaskListener,none,208,1,,1,0,3,[ 1. -1.  1.  0.  3.],[1.]
57,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\TestLearn.java,hr.fer.zemris.test.TestLearn,none,955,3,0.0,2,0,27,[ 2.  0.  2.  0. 28.],[1.41421356]
58,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\english\EnglishOneToOneDiagonalCrossTest.java,hr.fer.zemris.test.english.EnglishOneToOneDiagonalCrossTest,none,1302,31,,8,9,132,[ 35.   0.   9.   9. 133.],[4.24264069]
59,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\image\ImageScale.java,hr.fer.zemris.gui.image.ImageScale,none,434,0,-1.0,0,0,1,[ 0. -1.  0.  0.  0.],[1.]
60,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\TestPaint.java,hr.fer.zemris.test.TestPaint$Anonymous2,none,1460,2,,1,0,12,[ 2. -1.  1.  0. 12.],[1.]
61,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\BP.java,hr.fer.zemris.test.BP,none,258,3,0.0,2,1,15,[ 3.  0.  3.  1. 15.],[1.]
62,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\TestPaint.java,hr.fer.zemris.test.TestPaint$Anonymous1,none,625,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
63,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\GrayscaleUnifromFilter.java,hr.fer.zemris.filters.GrayscaleUnifromFilter,none,455,3,0.0,3,3,14,[ 3.  0.  3.  3. 13.],[1.]
64,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\DBP.java,hr.fer.zemris.test.DBP,none,205,1,,1,1,6,[2. 0. 2. 1. 6.],[1.41421356]
65,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\TestPaint.java,hr.fer.zemris.test.TestPaint,none,692,2,0.0,2,0,34,[ 3. -1.  1.  2. 33.],[2.82842712]
66,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\OCRTabbedPane.java,hr.fer.zemris.gui.OCRTabbedPane,none,1706,2,,2,0,22,[ 2.  0.  2.  0. 23.],[1.]
67,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\nnet\CroatianDataSetLoader.java,hr.fer.zemris.gui.nnet.CroatianDataSetLoader,none,543,6,0.0,3,2,28,[ 7.          0.33333334  3.          2.         28.        ],[1.05409256]
68,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\english\EnglishOneToOneHorizontalTest.java,hr.fer.zemris.test.english.EnglishOneToOneHorizontalTest,none,1302,31,,8,9,132,[ 35.   0.   9.   9. 133.],[4.24264069]
69,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\GrayscaleBT601Filter.java,hr.fer.zemris.filters.GrayscaleBT601Filter,none,455,3,0.0,3,3,14,[ 3.  0.  3.  3. 13.],[1.]
70,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\image\UniqueEnglishLetterMapper.java,hr.fer.zemris.image.UniqueEnglishLetterMapper,none,783,54,,1,0,88,[56.  0.  3.  0. 85.],[4.12310563]
71,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\english\EnglishOneToOneMatrixTest.java,hr.fer.zemris.test.english.EnglishOneToOneMatrixTest,none,1302,31,,8,9,132,[ 35.   0.   9.   9. 133.],[4.24264069]
72,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\smallTest\OneToOneHorizontalTest_SmallTest.java,hr.fer.zemris.test.smallTest.OneToOneHorizontalTest_SmallTest,minor,176,25,,7,10,121,[ 26.   0.  10.   9. 121.],[3.31662479]
73,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\OtsuBinarize.java,hr.fer.zemris.filters.OtsuBinarize,none,1757,14,0.0,3,0,61,[13.  0.  4.  0. 63.],[2.44948974]
74,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\ThinningFilter.java,hr.fer.zemris.filters.ThinningFilter,none,1423,3,0.0,3,0,12,[ 3.  0.  3.  0. 12.],[0.]
75,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\smallTest\EnglishOneToOneDiagonalCrossTest_SmallTest.java,hr.fer.zemris.test.smallTest.EnglishOneToOneDiagonalCrossTest_SmallTest,none,2166,30,,8,10,130,[ 30.   0.   7.   5. 127.],[5.91607978]
76,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\learn\DiagonalCrossFeatureVector.java,hr.fer.zemris.learn.DiagonalCrossFeatureVector$Tuple,none,916,1,,1,2,8,[ 1. -1.  1.  2.  8.],[1.]
77,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\tabs\NetLearnTab.java,hr.fer.zemris.gui.tabs.NetLearnTab$Anonymous1,none,415,1,,1,0,8,[ 1. -1.  1.  0.  8.],[1.]
78,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\console\JConsole.java,hr.fer.zemris.gui.console.JConsole$Anonymous1,none,625,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
79,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\tabs\ImagesProcessorTab.java,hr.fer.zemris.gui.tabs.ImagesProcessorTab,none,313,11,,5,6,100,[15.  0.  6.  7. 99.],[4.35889894]
80,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\image\BinaryImageException.java,hr.fer.zemris.image.BinaryImageException,none,2251,4,0.0,4,0,14,[ 4.  0.  4.  0. 14.],[0.]
81,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\image\LetterMapper.java,hr.fer.zemris.image.LetterMapper,none,209,1,,1,0,4,[ 1. -1.  1.  0.  4.],[1.]
82,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\learn\HorizontalFetureVector.java,hr.fer.zemris.learn.HorizontalFetureVector,none,747,12,0.0,5,1,42,[12.  0.  6.  1. 44.],[2.23606798]
83,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\GrayscaleFilter.java,hr.fer.zemris.filters.GrayscaleFilter,none,455,3,0.0,3,3,14,[ 3.  0.  3.  3. 13.],[1.]
84,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\croatian\OneToOneDiagonalTest.java,hr.fer.zemris.test.croatian.OneToOneDiagonalTest,none,2166,29,,8,9,127,[ 30.   0.   7.   5. 127.],[4.24264069]
85,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\english\EnglishUpercaseOneToOneDiagonalCrossTest.java,hr.fer.zemris.test.english.EnglishUpercaseOneToOneDiagonalCrossTest,none,1302,32,,8,9,135,[ 35.   0.   9.   9. 133.],[3.74165739]
86,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\IFilter.java,hr.fer.zemris.filters.IFilter,none,1030,2,0.0,2,0,4,[2. 0. 2. 0. 4.],[0.]
87,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\tabs\NetLearnTab.java,hr.fer.zemris.gui.tabs.NetLearnTab,major,54,25,0.0,12,14,190,[ 26.   0.  15.   5. 191.],[9.59166305]
88,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\JOCR.java,hr.fer.zemris.JOCR,none,1511,3,0.0,3,0,23,[ 4.  0.  3.  1. 23.],[1.41421356]
89,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\ZhangSuenThinFilter.java,hr.fer.zemris.filters.ZhangSuenThinFilter,none,246,45,,5,2,109,[ 38.   0.   6.   6. 110.],[8.18535277]
90,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\learn\DiagonalCrossFeatureVectorHorizontal.java,hr.fer.zemris.learn.DiagonalCrossFeatureVectorHorizontal$Tuple,none,916,1,,1,2,8,[ 1. -1.  1.  2.  8.],[1.]
91,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\AbstractGrayscaleFilter.java,hr.fer.zemris.filters.AbstractGrayscaleFilter,none,1483,4,0.0,2,0,18,[ 4.  0.  3.  0. 18.],[1.]
92,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\ZhangSuenThinFilter.java,hr.fer.zemris.filters.Iteration,none,434,0,-1.0,0,0,1,[ 0. -1.  0.  0.  0.],[1.]
93,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\learn\DiagonalCrossFeatureVectorHorizontal.java,hr.fer.zemris.learn.DiagonalCrossFeatureVectorHorizontal,none,476,44,0.0,9,2,153,[ 40.   0.   8.   2. 151.],[4.58257569]
94,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\learn\EulerNumber.java,hr.fer.zemris.learn.EulerNumber,none,728,6,1.0,2,2,29,[ 6.  0.  3.  1. 29.],[1.73205081]
95,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\learn\InputImage.java,hr.fer.zemris.learn.InputImage,none,1984,7,0.6666667,4,3,34,[ 6.  0.  4.  4. 34.],[1.56347193]
